PaperName,URL,LastEdited,Categories,Source
Depression for Surviving Ancestral Hardships,https://psyarxiv.com/m9pq2/,"Feb 26, 2021","['Life Sciences', 'Ecology and Evolutionary Biology', 'Evolution', 'Social and Behavioral Sciences']",PsyArXiv
Contrasting Broad- and Clinically- defined Polygenic Indicators of Depression and Depression-related Phenotypes in Adults and Children,https://psyarxiv.com/pn9vb/,"Sep 26, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology', 'Life Sciences', 'Neuroscience and Neurobiology', 'Cognitive Neuroscience']",PsyArXiv
Computational modelling of attentional selectivity in depression reveals perceptual deficits,https://psyarxiv.com/nsc6h/,"Apr 25, 2020","['Social and Behavioral Sciences', 'Psychology', 'Cognitive Psychology', 'Clinical Psychology']",PsyArXiv
Upaya Penekanan Tingkat Depresi pada Mahasiswa FK UNS Ditinjau dari Sudut Pandang Domisili,http://osf.io/h5tv3/,"Jun 25, 2019","['Medicine and Health Sciences', 'Mental and Social Health', 'Psychiatric and Mental Health']",INA-Rxiv
Association between negative cognitive bias and depression: A symptom-level approach,https://psyarxiv.com/d3xfh/,"Feb 4, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
Generality of the relationship between attributions and depression across attributional dimensions and across samples,http://www.escholarship.org/uc/item/6p12715r.pdf,"Dec 10, 2015",[],RePEc
"Looking beyond depression: A meta-analysis of the effect of behavioral activation on depression, anxiety, and activation",https://psyarxiv.com/bhyg9/,"Jun 29, 2021","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
"""The Great Depression and Modern Capitalism""",http://www.cirje.e.u-tokyo.ac.jp/research/dp/97/f5/contents.htm,"Aug 7, 2014",[],RePEc
"Anxiety, Depression, and Music",https://psyarxiv.com/3t5uf/,"Jul 23, 2019","['Arts and Humanities', 'Music', 'Social and Behavioral Sciences']",PsyArXiv
Relative ESR1 gene expression in major depression a biomarker for hormone therapy,https://psyarxiv.com/y2tfz/,"Apr 19, 2019","['Medicine and Health Sciences', 'Medical Specialties', 'Psychiatry', 'Life Sciences', 'Neuroscience and Neurobiology']",PsyArXiv
Depression Measurement Instruments: An Overview of the Top Depression Rating Scales,,"Dec 16, 2016",['Sociology'],Preprints.org
Examining Access to Acute & Community Care Psychiatric Services for Depression Suffers in Ireland,http://www.teagasc.ie/rural-economy/downloads/workingpapers/09wpre08.pdf,"Oct 1, 2015",[],RePEc
"Importance of social and cultural factors for attitudes, disclosure and time off work for depression: findings from a seven country European study on depression in the workplace",http://eprints.lse.ac.uk/56307/,"Jan 29, 2015",[],RePEc
"Sleep Management, Breastfeeding & Postpartum Depression",,"Nov 13, 2014",[],RePEc
The Effect of Depression on Labor Market Outcomes,http://www.nber.org/papers/w19451.pdf,"Sep 26, 2013",[],RePEc
The Dynamics of Depression from Adolescence to Early Adulthood,http://socserv.mcmaster.ca/econ/rsrch/papers/archive/2014-09.pdf,"Sep 25, 2014",[],RePEc
Double trouble: Do symptom severity and duration interact to predicting treatment outcomes in adolescent depression?,https://psyarxiv.com/7axq8/,"Sep 29, 2020","['Social and Behavioral Sciences', 'Psychology', 'Clinical Psychology']",PsyArXiv
Chronic and Proximate Depression among Mothers: Implications for Child Well-being,http://crcw.princeton.edu/workingpapers/WP10-07-FF.pdf,"Mar 17, 2016",[],RePEc
"Manuscript Pre-Print_Stallwood et al., 2021 CDRS-R adolescents",/3s8xc,"Jan 2, 2021","['Medicine and Health Sciences', 'Psychiatry and Psychology']",OSF Preprints
The Great Depression and the Great Recession: A View from Financial Markets,http://www.nber.org/papers/w21056.pdf,"Dec 27, 2018",[],RePEc
Etiology and pathogenesis of depression.,/bnek7,"Jul 21, 2020","['Medicine and Health Sciences', 'Psychiatry and Psychology', 'Mental Disorders', 'Medical Sciences', 'Mental and Social Health']",OSF Preprints
Real Business Cycle Models of the Great Depression : a Critical Survey,http://sites.uclouvain.be/econ/DP/IRES/2005-5.pdf,"Sep 29, 2016",[],RePEc
Real Business Cycle Models of the Great Depression,http://sites.uclouvain.be/econ/DP/IRES/2009034.pdf,"Oct 17, 2013",[],RePEc
Impact of supportive therapy in reducing anxiety and depression in middle aged cancer patients,/m47pz,"Dec 17, 2020","['Medicine and Health Sciences', 'Mental and Social Health', 'Psychiatric and Mental Health']",OSF Preprints
HUBUNGAN ANTARA PENERIMAAN DIRI DENGAN TINGKAT DEPRESI PADA PASIEN PENDERITA PENYAKIT JANTUNG KORONER (PJK) DI POLIKLINIK JANTUNG RSUD Dr. ACHMAD MOCHTAR BUKITTINGGI,http://osf.io/usgxa/,"Nov 26, 2018","['Education', 'Educational Psychology', 'Student Counseling and Personnel Services']",INA-Rxiv
New perspectives on the Great Depression: a review essay,http://www.bankofgreece.gr/BogEkdoseis/Paper2016212.pdf,"Sep 22, 2016",[],RePEc
Relative ESR1 gene expression in major depression a biomarker for hormone therapy,https://psyarxiv.com/9e583/,"Jul 16, 2020","['Life Sciences', 'Neuroscience and Neurobiology', 'Molecular and Cellular Neuroscience']",PsyArXiv
Depression profiles among adolescents and their parents: A group-based multi-trajectory modeling,/r3mgw,"Feb 3, 2021","['Social and Behavioral Sciences', 'Psychology']",OSF Preprints
Depression and antidepressants in Australia and beyond: A critical public health analysis,https://thesiscommons.org/7wue6/,"Oct 29, 2018","['Medicine and Health Sciences', 'Public Health', 'Epidemiology', 'Mental and Social Health', 'Clinical Epidemiology', 'Psychiatry and Psychology']",Thesis Commons
Ireland's great depression,http://dallasfed.org/assets/documents/research/papers/2005/wp0510.pdf,"Jul 14, 2016",[],RePEc
"ANXIETY, DEPRESSION AND PERSONALITY TYPES IN PATIENTS WITH INFLAMMATORY BOWEL DISEASE: COMPARISONS WITH PEPTIC ULCER AND THE GENERAL POPULATION",/5cwf4,"Jun 19, 2019","['Medicine and Health Sciences', 'Psychiatry and Psychology', 'Other Psychiatry and Psychology']",OSF Preprints
Ireland's great depression,http://dallasfed.org/assets/documents/research/papers/2005/wp0510.pdf,"Jul 14, 2016",[],RePEc
Chronic and Proximate Depression among Mothers: Implications for Child Well-being,http://crcw.princeton.edu/workingpapers/WP10-07-FF.pdf,"Mar 17, 2016",[],RePEc
"Manuscript Pre-Print_Stallwood et al., 2021 CDRS-R adolescents",/3s8xc,"Jan 2, 2021","['Medicine and Health Sciences', 'Psychiatry and Psychology']",OSF Preprints
The Great Depression and the Great Recession: A View from Financial Markets,http://www.nber.org/papers/w21056.pdf,"Dec 27, 2018",[],RePEc
