PaperName,URL,LastEdited,Disciplines,Tags
Depression for Surviving Ancestral Hardships,https://psyarxiv.com/m9pq2/,"Feb 26, 2021","['Social and Behavioral Sciences', 'Evolution', 'Survival and Psychological Adaptations']","['Depression', 'Free Riding', 'Hardship', 'Hibernation', 'Hoarding', 'Hunger', 'Infertility', 'Starvation']"
Contrasting Broad- and Clinically- defined Polygenic Indicators of Depression and Depression-related Phenotypes in Adults and Children,https://psyarxiv.com/pn9vb/,"Sep 26, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Neuroscience', 'Cognitive Neuroscience']","['Depression', 'Major Depression', 'Neuroticism', 'Polygenic Scores']"
Computational modelling of attentional selectivity in depression reveals perceptual deficits,https://psyarxiv.com/nsc6h/,"Apr 25, 2020","['Social and Behavioral Sciences', 'Cognitive Psychology', 'Attention', 'Clinical Psychology', 'Depressive Disorders']","['cognitive control', 'computational modelling', 'depression']"
Association between negative cognitive bias and depression: A symptom-level approach,https://psyarxiv.com/d3xfh/,"Feb 4, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['cognitive bias', 'depression', 'machine learning', 'symptom-level']"
"Looking beyond depression: A meta-analysis of the effect of behavioral activation on depression, anxiety, and activation",https://psyarxiv.com/bhyg9/,"Jun 29, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Psychotherapy']","['Behavioral Activation', 'Depression', 'Meta Analysis', 'Systematic Review']"
"Anxiety, Depression, and Music",https://psyarxiv.com/3t5uf/,"Jul 23, 2019","['Social and Behavioral Sciences', 'Music']","['and Music', 'Anxiety', 'Depression']"
Relative ESR1 gene expression in major depression a biomarker for hormone therapy,https://psyarxiv.com/y2tfz/,"Apr 19, 2019","['Psychiatry', 'Neuroscience', 'Clinical Neuroscience']",[]
Double trouble: Do symptom severity and duration interact to predicting treatment outcomes in adolescent depression?,https://psyarxiv.com/7axq8/,"Sep 29, 2020","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders']","['Adolescents', 'Depression', 'Personalized medicine', 'Stepped care']"
Relative ESR1 gene expression in major depression a biomarker for hormone therapy,https://psyarxiv.com/9e583/,"Jul 16, 2020","['Neuroscience', 'Molecular and Cellular Neuroscience']","['ESR1 gene expression', 'major depression']"
Depression and Anxiety in Pregnancy during COVID-19: A Rapid Review and Meta-Analysis,https://psyarxiv.com/n8b7x/,"Feb 1, 2021","['Social and Behavioral Sciences', 'Clinical Psychology', 'Depressive Disorders', 'Anxiety Disorders']","['Anxiety', 'COVID-19', 'Depression', 'Mental Health', 'Meta-Analysis', 'Pregnancy']"
